"Registration.date","Total.usage.time","Pets","Carpet.score","Sent.for.repair","Failure.date","Battery.status","Impact.status","IR.status","Battery.censoring","Impact.censoring","IR.censoring","Survival.time","Registration.year","Registration.year.month"
2019-07-29,233,0,5,0,2019-12-31,NA,NA,NA,0,0,0,155,"2019","2019-07"
2019-09-08,152,0,3,0,2019-12-31,NA,NA,NA,0,0,0,114,"2019","2019-09"
2016-06-06,475,0,2,1,2017-11-07,"OK","OK","Damage",0,0,1,519,"2016","2016-06"
2019-02-25,326,0,4,0,2019-12-31,NA,NA,NA,0,0,0,309,"2019","2019-02"
2018-03-17,1018,1,4,0,2019-12-31,NA,NA,NA,0,0,0,654,"2018","2018-03"
2017-08-05,1312,0,2,0,2019-12-31,NA,NA,NA,0,0,0,878,"2017","2017-08"
2018-09-07,1172,1,4,0,2019-12-31,NA,NA,NA,0,0,0,480,"2018","2018-09"
2015-09-03,2679,1,2,1,2019-02-23,"Damage","OK","OK",1,0,0,1269,"2015","2015-09"
2018-04-14,464,0,3,0,2019-12-31,NA,NA,NA,0,0,0,626,"2018","2018-04"
2018-07-11,536,0,3,0,2019-12-31,NA,NA,NA,0,0,0,538,"2018","2018-07"
2017-04-15,987,0,6,0,2019-12-31,NA,NA,NA,0,0,0,990,"2017","2017-04"
2018-08-06,561,0,2,0,2019-12-31,NA,NA,NA,0,0,0,512,"2018","2018-08"
2019-09-03,107,0,2,0,2019-12-31,NA,NA,NA,0,0,0,119,"2019","2019-09"
2016-04-11,1400,1,4,1,2017-09-08,"Damage","OK","OK",1,0,0,515,"2016","2016-04"
2017-04-24,295,0,4,1,2018-10-26,"OK","OK","Damage",0,0,1,550,"2017","2017-04"
2019-09-13,134,0,2,0,2019-12-31,NA,NA,NA,0,0,0,109,"2019","2019-09"
2019-11-22,59,0,3,0,2019-12-31,NA,NA,NA,0,0,0,39,"2019","2019-11"
2015-08-03,1393,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1611,"2015","2015-08"
2017-05-17,853,0,5,0,2019-12-31,NA,NA,NA,0,0,0,958,"2017","2017-05"
2017-10-20,824,0,5,0,2019-12-31,NA,NA,NA,0,0,0,802,"2017","2017-10"
2019-07-09,456,1,3,0,2019-12-31,NA,NA,NA,0,0,0,175,"2019","2019-07"
2015-09-11,1682,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1572,"2015","2015-09"
2019-12-11,37,1,4,0,2019-12-31,NA,NA,NA,0,0,0,20,"2019","2019-12"
2019-09-25,80,0,3,0,2019-12-31,NA,NA,NA,0,0,0,97,"2019","2019-09"
2015-05-31,1618,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1675,"2015","2015-05"
2017-07-27,1791,1,6,0,2019-12-31,NA,NA,NA,0,0,0,887,"2017","2017-07"
2016-12-13,28,1,2,1,2016-12-26,"OK","OK","Damage",0,0,1,13,"2016","2016-12"
2019-07-12,208,0,4,0,2019-12-31,NA,NA,NA,0,0,0,172,"2019","2019-07"
2017-03-27,2474,1,3,1,2019-10-18,"Damage","OK","OK",1,0,0,935,"2017","2017-03"
2019-03-07,216,0,3,0,2019-12-31,NA,NA,NA,0,0,0,299,"2019","2019-03"
2018-09-08,347,0,2,0,2019-12-31,NA,NA,NA,0,0,0,479,"2018","2018-09"
2019-01-20,388,1,2,0,2019-12-31,NA,NA,NA,0,0,0,345,"2019","2019-01"
2016-12-09,1163,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1117,"2016","2016-12"
2018-06-05,516,0,3,0,2019-12-31,NA,NA,NA,0,0,0,574,"2018","2018-06"
2015-01-08,2247,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1818,"2015","2015-01"
2019-03-01,290,0,5,0,2019-12-31,NA,NA,NA,0,0,0,305,"2019","2019-03"
2015-01-14,2340,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1812,"2015","2015-01"
